effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),7.720007198910338,0.3177986133149471,7.111348341773328,8.338246132088145
fixed,cond,NA,cost_deviation,0.0011513619429803516,4.7035947405521316e-4,2.2282073930051071e-4,0.002109486025393088
fixed,cond,NA,treat_any,0.14811857288972266,0.1583740327352186,-0.17034797211430736,0.4202754178508823
fixed,cond,NA,treat_GK,-0.039750666904600426,0.18067069778743824,-0.38367628474681853,0.3302998464025221
fixed,cond,NA,wealth_asinh_R1,-40.443836202636355,37.68629715451367,-118.62809023033608,8.65886144541991
fixed,cond,NA,Lhh_wealth_asinh,40.62278831628418,37.68536979890154,-8.487816475236498,118.80686231998389
fixed,cond,NA,Lvill_eligible_ratio,-0.380219729064845,0.5598150680006649,-1.6950855520929962,0.5556487379860128
fixed,cond,NA,Lowndwelling,3.59639427519923,0.17602034484826762,3.216766441238934,3.9557180783425223
ran_pars,cond,block,sd__(Intercept),0.450234798896693,0.12782478088830979,0.29786079559807804,0.804085003398921
ran_pars,cond,vid,sd__(Intercept),0.9994152639712339,0.1066484425217659,0.8325344057519602,1.240962517108508
ran_pars,cond,Residual,sd__Observation,3.4194433177282617,0.03638454184956649,3.342564588526472,3.484396841720415
