effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),-2.6217167153113556,0.20881835277756794,-3.032156407562801,-2.2102871271449036
fixed,cond,NA,cost_deviation,5.6844960452099e-4,3.718785364939694e-4,-1.6075443755492565e-4,0.0013091373752197493
fixed,cond,NA,treat_any,-0.11852114437681488,0.13437873635188718,-0.3914003814747338,0.1421176967046735
fixed,cond,NA,treat_GK,-0.07873072714135534,0.1313324033604684,-0.3363717337114081,0.1787753294736231
fixed,cond,NA,housing_quality_R1,0.011450761479099491,0.021386943279284157,-0.029765431521154788,0.05349020495712056
fixed,cond,NA,Lhh_wealth_asinh,0.0350965490681092,0.008005751716495466,0.019084548091367712,0.050786160035183714
fixed,cond,NA,Lvill_eligible_ratio,0.13759920506031953,0.4269845595803565,-0.6890386187886283,0.9776975657398463
fixed,cond,NA,Lroomsnumb,0.5226421836046237,0.03803771967765855,0.4471940551761586,0.5954607685456239
ran_pars,cond,block,sd__(Intercept),0.10144162617396446,0.06945055502828386,0.004086537058614029,0.2551039027976592
ran_pars,cond,vid,sd__(Intercept),0.5837989098437394,0.0445974662867439,0.4991872660236126,0.6731299081030481
ran_pars,cond,Residual,sd__Observation,1.9216972400013634,0.021768038210646594,1.8800791707298112,1.9646692277373532
