effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),6.126812685444274,0.4305457233300001,5.283475579211226,6.965884883779145
fixed,cond,NA,cost_deviation,6.502435401529539e-4,8.046837436420556e-4,-9.716723167051386e-4,0.0022312744489914765
fixed,cond,NA,treat_any,-0.7250853779326034,0.2828204916586811,-1.2790004908415988,-0.18669748502874572
fixed,cond,NA,treat_GK,0.6709646478627357,0.2815457161313904,0.12719651410024846,1.2280385495333574
fixed,cond,NA,borrowingstock_asinh_R1,0.22946111400012284,0.015173983550797864,0.19973381699356185,0.2591710250155043
fixed,cond,NA,Lhh_wealth_asinh,-0.002294864647688975,0.019055661001925458,-0.038627593938784524,0.03425125988946531
fixed,cond,NA,Lvill_eligible_ratio,-0.5046394668737715,1.0799206060968491,-2.5649961708025026,1.6928280933745445
ran_pars,cond,block,sd__(Intercept),0.9265675289148197,0.2000741764580664,0.5815144476795455,1.3718020482192383
ran_pars,cond,vid,sd__(Intercept),1.192867930906825,0.10834273843713517,0.9884833192498604,1.4140358587632214
ran_pars,cond,Residual,sd__Observation,4.484802053250769,0.0522830950139671,4.381416806009791,4.588100503001677
